;full_name;annee;PRP;DEF;MIS;MP
13;Paul Millsap;2007;12.731707317073171;1.7195121951219512;4.024390243902439;17.762073170731707
14;Rajon Rondo;2007;13.974358974358974;1.7435897435897436;4.076923076923077;23.274102564102567
15;Rudy Gay;2007;16.58974358974359;1.858974358974359;4.256410256410256;26.769358974358965
16;Taurean Prince;2007;22.28048780487805;1.2926829268292683;2.6097560975609757;36.38609756097563
17;Trevor Ariza;2007;14.385964912280702;1.368421052631579;3.824561403508772;22.24438596491227
18;Udonis Haslem;2007;20.189873417721518;0.9493670886075949;4.379746835443038;31.232151898734173
0;Al Horford;2008;21.358024691358025;1.6790123456790123;4.987654320987654;31.160370370370384
1;Andre Iguodala;2008;30.085365853658537;2.682926829268293;4.890243902439025;39.34926829268293
2;Brian Bowen;2008;9.975308641975309;0.9382716049382716;2.753086419753086;30.027283950617274
3;Carmelo Anthony;2008;36.467532467532465;1.7792207792207793;6.571428571428571;36.251428571428576
4;Chris Paul;2008;36.625;2.7625;4.825;37.37200000000001
5;Damian Jones;2008;9.477611940298507;0.29850746268656714;1.5223880597014925;19.738656716417903
6;Dwight Howard;2008;36.170731707317074;3.048780487804878;6.548780487804878;37.447073170731706
7;Jared Dudley;2008;10.808219178082192;0.8904109589041096;2.4383561643835616;18.71643835616438
8;Jaxson Hayes;2008;9.658536585365853;0.6463414634146342;2.2439024390243905;15.530609756097553
9;Kelan Martin;2008;20.112676056338028;2.436619718309859;4.591549295774648;30.201830985915485
10;Kevin Durant;2008;27.05;1.9125;4.425;34.390125
11;Kyle Lowry;2008;16.304878048780488;1.3902439024390243;3.8048780487804876;25.29024390243902
12;LaMarcus Aldridge;2008;26.973684210526315;1.9605263157894737;4.815789473684211;34.64434210526315
13;LeBron James;2008;45.08;2.92;5.6;40.16666666666666
14;Mike Conley;2008;16.20754716981132;0.8679245283018868;3.2830188679245285;25.879433962264144
15;Patty Mills;2008;14.658536585365853;1.7682926829268293;4.341463414634147;20.56878048780488
16;Paul Millsap;2008;14.658536585365853;1.7682926829268293;4.341463414634147;20.56878048780488
17;Rajon Rondo;2008;19.857142857142858;1.844155844155844;4.337662337662338;29.74324675324676
18;Rudy Gay;2008;28.25925925925926;2.345679012345679;5.185185185185185;36.84246913580245
19;Taurean Prince;2008;21.29268292682927;0.9146341463414634;2.207317073170732;32.63304878048778
20;Thaddeus Young;2008;13.243243243243244;1.0945945945945945;2.5675675675675675;20.83581081081081
21;Trevor Ariza;2008;9.82857142857143;1.2;1.9428571428571428;15.425714285714289
22;Udonis Haslem;2008;22.448979591836736;1.163265306122449;4.326530612244898;36.67122448979592
0;Al Horford;2009;23.28358208955224;2.208955223880597;4.373134328358209;33.25029850746267
1;Andre Iguodala;2009;29.829268292682926;2.0365853658536586;4.560975609756097;39.68536585365854
2;Brian Bowen;2009;4.9875;0.6125;1.85;18.624249999999996
3;Brook Lopez;2009;22.182926829268293;2.3780487804878048;4.926829268292683;30.30353658536585
4;Caleb Martin;2009;4.0;0.36363636363636365;1.2727272727272727;7.847272727272727
5;Carmelo Anthony;2009;32.96969696969697;1.5;5.96969696969697;34.31287878787878
