;Rk;G;Date;Age;Tm;Unnamed: 5;Opp;Unnamed: 7;GS;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-;url;joueur;annee
44;43;;2009-01-25;22-236;ATL;;PHO;L (-5);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
45;44;;2009-01-26;22-237;ATL;@;MIA;L (-16);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
46;45;;2009-01-28;22-239;ATL;@;NYK;L (-8);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
47;46;;2009-01-30;22-241;ATL;;NJN;W (+17);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
48;47;;2009-01-31;22-242;ATL;@;MIL;L (-3);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
49;48;34;2009-02-04;22-246;ATL;@;MIN;W (+8);1;24:53;2;5;.400;0;0;;0;0;;1;5;6;3;3;2;3;5;4;5.0;+1;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
50;49;35;2009-02-06;22-248;ATL;@;CHA;W (+5);1;29:49;2;5;.400;0;0;;1;2;.500;1;3;4;4;1;0;0;1;5;6.9;-8;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
51;50;36;2009-02-07;22-249;ATL;;LAC;L (-24);1;23:50;4;6;.667;0;0;;0;0;;0;5;5;2;1;0;1;3;8;7.1;-11;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
52;51;37;2009-02-10;22-252;ATL;;WAS;W (+21);1;15:17;3;5;.600;0;0;;0;0;;1;7;8;0;1;1;1;0;6;7.2;+16;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
53;52;38;2009-02-11;22-253;ATL;@;DET;W (+4);1;33:49;6;11;.545;0;0;;3;4;.750;1;6;7;2;1;2;1;2;15;13.8;+2;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
54;53;39;2009-02-17;22-259;ATL;@;LAL;L (-13);1;22:02;2;6;.333;0;0;;2;2;1.000;2;5;7;1;3;0;1;1;6;7.8;-18;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
55;54;40;2009-02-18;22-260;ATL;@;SAC;W (+5);1;39:53;7;12;.583;0;0;;4;6;.667;5;13;18;4;1;2;1;1;18;22.8;+3;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
56;55;41;2009-02-20;22-262;ATL;@;POR;L (-10);1;30:23;1;3;.333;0;0;;2;4;.500;1;5;6;3;1;2;2;2;4;5.4;-11;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
57;56;42;2009-02-23;22-265;ATL;@;UTA;L (-19);1;30:38;5;8;.625;0;0;;4;4;1.000;1;5;6;5;1;0;3;3;14;12.9;-10;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
58;57;43;2009-02-25;22-267;ATL;@;DEN;L (-1);1;39:39;10;17;.588;0;0;;1;2;.500;3;8;11;2;3;1;3;4;21;17.7;+3;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
59;58;44;2009-02-27;22-269;ATL;;MIA;W (+8);1;43:19;8;14;.571;0;0;;5;7;.714;5;17;22;1;0;1;3;3;21;19.4;+8;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
60;59;45;2009-03-01;22-271;ATL;;CLE;L (-1);1;36:38;3;10;.300;0;0;;4;4;1.000;1;9;10;1;1;2;2;3;10;7.5;-4;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
61;60;46;2009-03-02;22-272;ATL;@;WAS;W (+9);1;41:34;7;12;.583;0;0;;2;2;1.000;3;5;8;5;1;2;3;3;16;15.7;+17;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
62;Rk;G;Date;Age;Tm;;Opp;;GS;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
63;61;47;2009-03-04;22-274;ATL;@;NYK;L (-4);1;36:44;9;14;.643;0;0;;2;2;1.000;2;11;13;2;0;2;1;2;20;19.5;+9;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
64;62;48;2009-03-06;22-276;ATL;@;CHA;L (-7);1;37:08;7;10;.700;0;0;;1;2;.500;1;6;7;1;0;1;0;2;15;13.5;-4;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
65;63;49;2009-03-07;22-277;ATL;;DET;W (+4);1;40:48;8;13;.615;0;0;;2;2;1.000;4;8;12;2;1;0;1;3;18;17.5;-2;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
66;64;50;2009-03-09;22-279;ATL;;NOH;W (+10);1;31:58;2;8;.250;0;0;;1;2;.500;2;6;8;2;2;2;0;2;5;7.0;0;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
67;65;51;2009-03-11;22-281;ATL;;UTA;W (+7);1;38:12;5;10;.500;0;0;;3;8;.375;3;9;12;2;2;3;1;1;13;14.9;+6;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
68;66;52;2009-03-13;22-283;ATL;;IND;W (+14);1;42:33;8;14;.571;0;0;;1;1;1.000;1;14;15;4;0;3;2;2;17;17.4;+12;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
69;67;53;2009-03-15;22-285;ATL;;POR;W (+18);1;39:32;6;8;.750;0;0;;1;1;1.000;2;3;5;2;1;0;1;1;13;13.1;+19;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
70;68;54;2009-03-17;22-287;ATL;;SAC;W (+22);1;33:22;9;13;.692;0;0;;5;6;.833;4;8;12;6;1;0;1;2;23;25.7;+15;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
71;69;55;2009-03-19;22-289;ATL;;DAL;W (+8);1;36:11;6;10;.600;0;0;;1;5;.200;2;6;8;3;0;4;2;3;13;11.7;+9;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
72;70;56;2009-03-21;22-291;ATL;@;CLE;L (-6);1;37:29;3;6;.500;0;0;;0;1;.000;2;9;11;6;0;0;0;2;6;10.1;-9;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
73;71;57;2009-03-23;22-293;ATL;;MIN;W (+12);1;26:58;6;11;.545;0;0;;0;0;;3;10;13;1;0;1;2;5;12;9.2;+3;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
74;72;58;2009-03-25;22-295;ATL;;SAS;L (-10);1;41:12;2;9;.222;0;0;;3;4;.750;3;10;13;2;1;2;0;2;7;9.2;-15;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
75;73;59;2009-03-27;22-297;ATL;;BOS;L (-6);1;39:54;3;12;.250;0;0;;0;0;;8;6;14;1;2;1;2;3;6;6.4;-5;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
76;74;60;2009-03-29;22-299;ATL;;LAL;W (+10);1;32:46;1;6;.167;0;0;;2;2;1.000;0;5;5;1;0;0;1;4;4;-0.2;+8;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
77;75;61;2009-03-31;22-301;ATL;@;PHI;L (-13);1;22:58;2;5;.400;0;0;;0;0;;2;6;8;0;0;3;3;5;4;1.6;-12;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
