;full_name;code;letter;POS;Age
2;Hamidou Diallo;diallha01;d;SG;23
3;Luka Garza;garzalu01;g;C;22
4;Jerami Grant;grantje01;g;SF;27
5;Killian Hayes;hayeski01;h;PG;20
6;Frank Jackson;jacksfr01;j;PG;23
7;Josh Jackson;jacksjo02;j;SG;24
8;Cory Joseph;josepco01;j;PG;30
9;Balsa Koprivica;kopriba01;k;C;21
10;Saben Lee;leesa01;l;PG;22
11;Isaiah Livers;liveris01;l;PF;23
12;Trey Lyles;lylestr01;l;PF;25
13;Rodney McGruder;mcgruro01;m;SG;30
14;Kelly Olynyk;olynyke01;o;PF;30
15;Jamorko Pickett;pickeja01;p;PF;23
16;Chris Smith;smithch07;s;SF;21
17;Isaiah Stewart;stewais01;s;C;20
0;Dwayne Bacon;bacondw01;b;SG;26
1;RJ Barrett;barrerj01;b;SG;21
2;Alec Burks;burksal01;b;SG;30
3;Evan Fournier;fournev01;f;SG;28
4;Taj Gibson;gibsota01;g;C;36
5;Quentin Grimes;grimequ01;g;SG;21
6;Rokas Jokubaitis;jokubro01;j;PG;20
7;Kevin Knox;knoxke01;k;SF;22
8;Miles McBride;mcbrimi01;m;PG;21
9;Nerlens Noel;noelne01;n;C;27
10;Immanuel Quickley;quickim01;q;SG;22
11;Julius Randle;randlju01;r;PF;26
12;Mitchell Robinson;robinmi01;r;C;23
13;Derrick Rose;rosede01;r;PG;32
14;Aamir Simms;simmsaa01;s;PF;22
15;Jericho Sims;simsje01;s;PF;22
16;Obi Toppin;toppiob01;t;PF;23
17;Luca Vildoza;vildolu01;v;PG;26
18;Kemba Walker;walkerke02;w;PG;31
19;MJ Walker;walkemj01;w;SG;23
0;Jarrett Allen;allenja01;a;C;23
1;Mitch Ballock;ballomi01;b;SG;23
2;Tacko Fall;fallta01;f;C;25
3;Darius Garland;garlada01;g;PG;21
4;Isaiah Hartenstein;harteis01;h;C;23
5;Mfiondu Kabengele;kabenmf01;k;C;24
6;Kevin Love;loveke01;l;PF;33
7;Lauri Markkanen;markkla01;m;PF;24
8;Evan Mobley;mobleev01;m;C;20
9;RJ Nembhard;nembhrj01;n;SG;22
10;Isaac Okoro;okorois01;o;SF;20
11;Cedi Osman;osmande01;o;SF;26
12;Ricky Rubio;rubiori01;r;G;30
13;Trevon Scott;scotttr01;s;PF;24
14;Collin Sexton;sextoco01;s;PG;22
15;Lamar Stevens;stevela01;s;F;24
16;Brodric Thomas;thomabr01;t;G;24
17;Denzel Valentine;valende01;v;SG;27
18;Dean Wade;wadede01;w;PF;24
19;Dylan Windler;windldy01;w;SG;24
0;Precious Achiuwa;achiupr01;a;F;21
1;OG Anunoby;anunoog01;a;SF;24
2;Dalano Banton;bantoda01;b;PG;21
3;Scottie Barnes;barnesc01;b;SF;20
4;Khem Birch;birchkh01;b;C;28
5;Isaac Bonga;bongais01;b;G;21
6;Chris Boucher;bouchch01;b;PF;28
7;Justin Champagnie;champju01;c;SF;20
8;Sam Dekker;dekkesa01;d;F;27
9;Goran Dragic;dragigo01;d;PG;35
10;Malachi Flynn;flynnma01;f;PG;23
11;Freddie Gillespie;gillefr01;g;SF;24
12;David Johnson;johnsda01;j;PG;20
13;Svi Mykhailiuk;mykhasv01;m;SG;24
14;Pascal Siakam;siakapa01;s;PF;27
15;Gary Trent;trentga02;t;SG;22
16;Fred VanVleet;vanvlfr01;v;SG;27
17;Ish Wainright;wainris01;w;PF;27
18;Yuta Watanabe;watanyu01;w;SF;26
0;Carmelo Anthony;anthoca01;a;PF;37
1;Trevor Ariza;arizatr01;a;SF;36
2;Joel Ayayi;ayayijo01;a;PG;21
3;Kent Bazemore;bazemke01;b;SF;32
4;Chaundee Brown;brownch01;b;SG;22
5;Devontae Cacok;cacokde01;c;PF;24
6;Anthony Davis;davisan02;d;PF;28
7;Wayne Ellington;ellinwa01;e;SG;33
8;Talen Horton-Tucker;hortota01;h;SG;20
9;Dwight Howard;howardw01;h;C;35
10;LeBron James;jamesle01;j;SF;36
11;DeAndre Jordan;jordade01;j;C;33
12;Wesley Matthews;matthwe02;m;SG;34
13;Mac McClung;mccluma01;m;SG;22
14;Malik Monk;monkma01;m;SG;23
15;Kendrick Nunn;nunnke01;n;G;26
16;Austin Reaves;reaveau01;r;SG;23
17;Rajon Rondo;rondora01;r;PG;35
18;Russell Westbrook;westbru01;w;PG;32
