;full_name;Tm;GS;minutes;cluster_c;cluster_def;age;FGA_moy;TOV_moy;PF_moy;Prod_mean_opp;Opp;POS;code
4221;Joel Embiid;phi;1.0;31.0;4.0;3.0;27.33333333333333;21.33333333333333;4.0;2.333333333333333;0.8699394274152258;bkn;C;Cphi1.0
4222;Joel Embiid;phi;1.0;33.5;4.0;3.0;27.5;19.5;3.0;2.5;0.8699394274152258;chi;C;Cphi1.0
4223;Joel Embiid;phi;1.0;33.0;4.0;3.0;27.0;17.0;5.0;3.0;0.8699394274152258;cha;C;Cphi1.0
4224;Joel Embiid;phi;1.0;40.0;4.0;3.0;27.0;22.0;3.0;4.0;0.8699394274152258;cle;C;Cphi1.0
4225;Joel Embiid;phi;1.0;27.0;4.0;3.0;27.0;20.0;0.0;3.0;0.8699394274152258;dal;C;Cphi1.0
4226;Joel Embiid;phi;1.0;28.5;4.0;3.0;27.5;16.5;2.0;1.5;0.8699394274152258;det;C;Cphi1.0
4227;Joel Embiid;phi;1.0;32.0;4.0;3.0;28.0;21.0;4.0;3.0;0.8699394274152258;gs;C;Cphi1.0
4228;Joel Embiid;phi;1.0;36.0;4.0;3.0;27.0;21.0;6.0;4.0;0.8699394274152258;hou;C;Cphi1.0
4229;Joel Embiid;phi;1.0;26.0;4.0;3.0;27.0;17.0;2.0;1.0;0.8699394274152258;ind;C;Cphi1.0
4230;Joel Embiid;phi;1.0;35.0;4.0;3.0;28.0;20.0;2.0;1.0;0.8699394274152258;lac;C;Cphi1.0
4231;Joel Embiid;phi;1.0;37.0;4.0;3.0;27.0;18.0;5.0;4.0;0.8699394274152258;lal;C;Cphi1.0
4232;Joel Embiid;phi;1.0;25.0;4.0;3.0;28.0;9.0;4.0;3.0;0.8699394274152258;mia;C;Cphi1.0
4233;Joel Embiid;phi;1.0;26.0;4.0;3.0;28.0;21.0;1.0;3.0;0.8699394274152258;mil;C;Cphi1.0
4234;Joel Embiid;phi;1.0;27.0;4.0;3.0;27.5;16.5;2.0;3.0;0.8699394274152258;min;C;Cphi1.0
4235;Joel Embiid;phi;1.0;32.0;4.0;3.0;28.0;18.0;3.0;2.5;0.8699394274152258;no;C;Cphi1.0
4236;Joel Embiid;phi;1.0;30.0;4.0;3.0;27.0;20.0;1.0;3.0;0.8699394274152258;ny;C;Cphi1.0
4237;Joel Embiid;phi;1.0;24.5;4.0;3.0;28.0;13.5;2.0;3.0;0.8699394274152258;okc;C;Cphi1.0
4238;Joel Embiid;phi;1.0;24.0;4.0;3.0;27.5;10.0;2.0;3.0;0.8699394274152258;orl;C;Cphi1.0
4239;Joel Embiid;phi;1.0;34.0;4.0;3.0;27.5;23.0;5.0;2.5;0.8699394274152258;pho;C;Cphi1.0
4240;Joel Embiid;phi;1.0;33.5;4.0;3.0;27.0;23.0;4.0;2.0;0.8699394274152258;por;C;Cphi1.0
4241;Joel Embiid;phi;1.0;34.0;4.0;3.0;27.0;15.0;4.0;3.0;0.8699394274152258;sac;C;Cphi1.0
4242;Joel Embiid;phi;1.0;39.0;4.0;3.0;27.0;27.0;2.0;3.0;0.8699394274152258;utah;C;Cphi1.0
