;Opp_name;annee;cluster_player
1326;Kyle Guy;2020;3.0
1338;Jarrett Culver;2020;1.0
1350;Josh Hart;2020;1.0
1353;Damyean Dotson;2020;4.0
1368;KZ Okpala;2020;2.0
1439;Dario Saric;2020;4.0
1454;Hamidou Diallo;2020;4.0
1482;Adam Mokoka;2020;4.0
1501;Malik Monk;2020;4.0
1512;Mikal Bridges;2020;3.0
1518;Kevin Love;2020;0.0
1535;Al Horford;2020;0.0
1549;Derrick Favors;2020;1.0
1551;Paul Millsap;2020;1.0
1557;Gorgui Dieng;2020;4.0
1566;Kristaps Porzingis;2020;1.0
1601;Eric Gordon;2020;0.0
1613;Javonte Green;2020;3.0
1625;Cam Reddish;2020;0.0
1630;Jordan McLaughlin;2020;3.0
1632;Patty Mills;2020;0.0
1635;Stephen Curry;2020;3.0
1637;Ryan Arcidiacono;2020;4.0
1640;Fred VanVleet;2020;1.0
1643;Caris LeVert;2020;1.0
1658;Ricky Rubio;2020;0.0
1659;Alex Caruso;2020;3.0
1707;Jonathan Isaac;2020;0.0
1715;Grant Williams;2020;2.0
1723;Amir Coffey;2020;2.0
1879;Ed Davis;2020;4.0
1880;Moe Wagner;2020;3.0
1891;JaMychal Green;2020;2.0
1902;Marvin Bagley;2020;2.0
1916;Isaiah Hartenstein;2020;2.0
1944;Mason Plumlee;2020;4.0
1946;Brandon Clarke;2020;4.0
1989;Quinn Cook;2020;0.0
1995;Michael Carter-Williams;2020;4.0
2025;Jordan Poole;2020;4.0
2026;Ben McLemore;2020;4.0
2027;Anfernee Simons;2020;4.0
2028;Nickeil Alexander-Walker;2020;4.0
2030;Lonnie Walker;2020;4.0
2062;Josh Okogie;2020;3.0
2071;Justin James;2020;4.0
2083;Rodney McGruder;2020;4.0
2091;Jerome Robinson;2020;3.0
2092;Jalen Lecque;2020;3.0
2094;Terance Mann;2020;3.0
2100;Dylan Windler;2020;
2112;Ignas Brazdeikis;2020;3.0
2239;Robin Lopez;2020;3.0
2446;Rudy Gobert;2020;0.0
2447;Thomas Bryant;2020;3.0
2450;Moses Brown;2020;4.0
2457;Joel Embiid;2020;0.0
2458;Ivica Zubac;2020;0.0
2459;JaVale McGee;2020;4.0
2462;Hassan Whiteside;2020;3.0
2466;Karl-Anthony Towns;2020;0.0
2470;Nikola Jokic;2020;1.0
2472;Jonas Valanciunas;2020;3.0
2473;Aron Baynes;2020;4.0
2498;Daniel Theis;2020;0.0
2505;Brook Lopez;2020;0.0
2516;Bam Adebayo;2020;0.0
2561;Austin Rivers;2020;3.0
2564;Jaylen Nowell;2020;2.0
2572;Frank Jackson;2020;1.0
2752;Brandon Goodwin;2020;2.0
2802;Zach Collins;2020;4.0
2857;DeMarcus Cousins;2020;
2889;Andre Drummond;2020;3.0
2908;Steven Adams;2020;0.0
2935;Bojan Bogdanovic;2020;0.0
2936;Yuta Watanabe;2020;3.0
2992;Theo Pinson;2020;3.0
3181;Victor Oladipo;2020;0.0
3235;Seth Curry;2020;1.0
3351;Buddy Hield;2020;0.0
3360;Terry Rozier;2020;0.0
3382;David Nwaba;2020;3.0
3387;Damian Lillard;2020;1.0
3419;Edmond Sumner;2020;4.0
