;Opp_name;annee;PTS_diff;AST_diff;TRB_diff;FGA;TOV;PF;BLK_diff;STL_diff
371;Jonathan Isaac;2020;-2.113268395218751;-0.11787529139242997;-0.3190192614743812;11.5625;2.0625;2.8125;0.08457634567434642;0.2861268289580934
372;Jordan Bone;2020;0.9317875332731952;-0.29966111253380273;0.20856666117059083;6.666666666666667;0.5555555555555556;1.1111111111111112;-0.182896478069832;-0.20412169436955185
373;Jordan Bone;2021;-1.6345431116272509;0.026849880186437223;0.5259127499407964;4.454545454545454;0.36363636363636365;1.6363636363636365;0.02349920523276423;-0.029667667385268933
374;Jordan Clarkson;2020;-0.4721049932448704;0.16758813719446009;-0.25043872855258964;6.7;0.75;1.55;-0.046758230103479875;0.03603201927111486
375;Jordan Clarkson;2021;-1.1806063190057519;-1.0367210298681047;0.023363831362350856;5.785714285714286;0.5;1.5714285714285714;0.010025369262459099;-0.3764847108655336
376;Jordan McLaughlin;2020;3.8402912359720993;-0.09786606475760785;0.03281914996080821;9.357142857142858;0.8571428571428571;2.142857142857143;0.33187847292674155;-0.05688309346287428
377;Jordan McLaughlin;2021;-0.4522575989469841;-0.2408551608061204;0.2945228062766774;4.2;0.4;1.2;0.19868293468517434;0.2182616386495214
378;Jordan Nwora;2021;-0.8809126932413789;-0.32641869937108375;-0.39292137410297856;5.526315789473684;0.8947368421052632;1.2105263157894737;0.11764105112297643;0.1150983949958852
379;Jordan Poole;2020;-0.6407346120432151;0.13945488983066284;-0.4833800766502957;6.954545454545454;1.1363636363636365;1.9545454545454546;0.008284154158742358;0.025132574921361703
380;Jordan Poole;2021;0.3813701461366568;0.33070077493597366;-0.11279614383673502;6.555555555555555;0.6111111111111112;1.5;0.2078935322207407;0.1077029257765153
381;Josh Hall;2021;1.7734204793028319;1.0501089324618738;1.4956427015250546;4.0;1.5;0.5;0.09477124183006536;0.8115468409586056
382;Josh Hart;2020;2.498210050192051;0.2895986455367967;-0.22594816948627008;12.03448275862069;1.4827586206896552;2.1379310344827585;-0.09778663581198778;0.6207200066544672
383;Josh Hart;2021;-3.9956559646809016;-0.4829425718573661;-0.30787924291583996;6.666666666666667;0.5555555555555556;1.4444444444444444;0.28060377435875744;-0.2849698828632657
384;Josh Okogie;2020;-0.5499269427381765;-0.2435272952435099;0.15061256132904705;7.972222222222222;1.0;1.5833333333333333;0.1762579774941135;0.11208518496631537
385;Josh Okogie;2021;0.6697589564648548;0.27522142377498704;1.6560432413264503;9.411764705882353;1.2352941176470589;1.588235294117647;0.01853132216656026;0.2042681978552767
386;Josh Richardson;2020;0.18201938158634937;-0.07957895928634973;-0.0028715167618678524;12.419354838709678;1.903225806451613;1.8387096774193548;-0.07878393442795166;0.16630986852446544
