;Opp_Coach;annee;PTS_diff;AST_diff;TRB_diff;FGA;TOV;PF;BLK_diff;STL_diff
50;Steve Clifford;2021;0.30630230676579007;0.1416251463197387;0.3201126370463524;8.470183486238533;1.224770642201835;1.7270642201834863;0.031236747049059016;0.056200171396725215
51;Steve Kerr;2020;0.08205495563865234;0.14420928347269918;0.0936144230400544;8.67403314917127;1.4604051565377532;1.9576427255985267;0.001687991943106456;0.04695597315309408
52;Steve Kerr;2021;-0.03538035475409322;-0.12001167214450156;0.16532671501999746;8.139433551198257;1.4074074074074074;1.8671023965141613;-0.021112850864527126;-0.0066758953894681
53;Steve Nash;2021;0.25293735338611706;-0.048252091906345065;-0.27781911597647646;8.72;1.1422222222222222;1.791111111111111;-0.03091882062231258;0.005168140933230813
54;Taylor Jenkins;2020;-0.02968492423685856;-0.01877871010363628;-0.0699814502842314;8.888524590163934;1.4213114754098362;1.9721311475409835;0.02540501095284805;0.06852135920231894
55;Taylor Jenkins;2021;-0.03864658161653025;0.040347761828502714;-0.018339613070058314;8.106024096385543;1.3662650602409638;1.7060240963855422;0.04191113051858267;0.015150840134682956
56;Terry Stotts;2020;0.644248230785266;0.08115786609615845;0.28559053273308477;9.283783783783784;1.2939189189189189;2.0405405405405403;0.0039181214541556;-0.046172776936885145
57;Terry Stotts;2021;0.47463235650634455;0.11994745706694414;0.06589525807547131;8.622425629290618;1.1990846681922196;1.794050343249428;-0.0318354871508842;-0.09547381422415252
58;Tom Thibodeau;2021;-0.55768928610299;-0.14295424693505815;-0.003079335210981354;8.157303370786517;1.1685393258426966;1.7370786516853933;0.10208904811658158;-0.07243492541694176
59;Tyronn Lue;2021;-0.614383214822952;-0.22092032082726124;-0.3563700096316983;8.15268817204301;1.1956989247311829;1.7204301075268817;-0.09523252648378798;-0.04392092795235013
